sentence_id,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
10,"[0.1061368063092231, 0.1629955992102623, -0.0797658134251833, -0.0278810244053602, -0.0200380533933639]","[-0.0557454310425353, 0.516040899597272, 0.1844265829952145, 0.113347731918272, 0.1789091872513298]",0.4513579353376592,0.3576770209480428,0.44214734167383446
11,"[-0.0092875398695468, 0.002791378647089, -0.1291931383311748, -0.0522533543407917]","[0.0797704692492034, 0.1061419565085236, 0.0393999642458893, -0.0817412801682519]",-0.05624154341771359,0.3685395051655067,0.41289354496227804
12,"[-0.0076826363801956, -0.0663666576147079]","[-0.1544285884050867, 0.3776287056164401]",-0.8759284071906086,-1.0,0.8325546111576977
13,"[0.1319502368569374, 0.1619584709405899, -0.2847391292452812, -0.0019547343254089]","[0.0614314837202225, 0.3833003885182439, -0.0911904735106837, 0.2346967799730284]",0.5856018259223914,0.7502086224589775,0.16568369190032428
14,"[0.1626735553145408, 0.141771875321865, -0.0284908339381217, 0.0594934597611427]","[0.2837304873723422, 0.1129925237017591, 0.0288861823848199, -0.0823020093238221]",0.7877527300104201,0.685871914831416,0.3629562024662005
15,"[-0.1080847550183534, -0.0543592069298028, -0.052559326402843, -0.0888705914840102, -0.0039362553507089]","[-0.1322059985137492, 0.0345245329916909, -0.0370317512999887, 0.0387562264315097, -0.0574209987343055]",0.44428320823263123,0.150050832667234,0.2946754711423136
16,"[-0.0089127905666828, -0.0286523662507534, 0.0121019389480352, -0.3143026549369097, -0.0040509440004825]","[-0.0149563315858964, 0.0084801153033152, 0.0948037000525226, -0.1256634649704561, -0.0104586046231205]",0.8091661271233975,0.8590229440349465,0.09278790556810278
17,"[0.228851780295372, 0.0355243906378746, 0.2367076762020588, -0.0682580918073654, -0.0206340365111827]","[0.1588037919291824, 0.1830174822359584, 0.2231349054126229, -0.1869440471369728, -0.2016466189885599]",0.7745579026802744,0.8179312714342057,0.22196047236729802
18,"[0.0250497963279485, 0.0217044036835432, -0.1604603817686438, -0.0688165491446852, -0.0012162011116743]","[0.2480090491930906, 0.0954111036907432, -0.0033204710785884, -0.0326536920493062, 0.1997501623814388]",0.18226507514725215,0.7623143052722241,0.2833662784079673
19,"[0.2011164911091327, 0.1205457709729671, -0.0206296779215335, 0.0362951047718524]","[0.2740609517057684, 0.1304607128450239, -0.0403220697189485, -0.2359555725008168]",0.6855195640245314,0.8158710256907056,0.33306135812615645
20,"[0.2658870425075292, -0.0623749997466802, -0.2821885719895363, -0.0307232663035392]","[0.2114112199400833, -0.0719960470261153, -0.0810080006283177, -0.1381263054393538]",0.8111506576377947,0.8072847495283211,0.3734011862529264
21,"[0.4680725261569023, -0.1107909902930259, 0.0086608529090881]","[0.18427192156704, 0.0199939453781014, 0.2699981899322168]",0.5482305831884557,0.3673386370377344,0.3344354504655123
22,"[0.0707280747592449, -0.0707049556076526, -0.105903404764831, 0.1589652514085173, 0.2843558322638273, 0.0605321358889341, 0.0110802426934242]","[-0.0538681244666372, 0.0093182863343299, -0.0073987401671977, 0.2837377199794073, 0.567279884540631, 0.0298047449432059, 0.0465586785535404]",0.8860374585286268,0.8595568966295257,0.28886541729261417
23,"[0.4342350494116545, 0.0095374379307031, -0.0082021430134773, -0.280442364513874, -0.0027707330882549, 0.0076830424368381]","[0.2122210812544175, 0.1022773685603946, 0.0492877697931356, 0.0040629108070051, 0.2311851110680608, 0.3322905992108168]",0.38388995269938614,0.48153499588460924,0.2278954378491651
24,"[0.0994535200297832, -0.3252994306385517, 0.1678702868521213, -0.1386895589530468]","[0.0030265924445049, -0.1262265146052986, 0.2415856291264012, 0.375088761468127]",0.15964053818637625,0.35216796716928744,0.2796720911788583
25,"[-0.0746966237202286, 0.005982550792396, 0.0673409523442387, 0.3140455270186066, -0.0488963527604937, -0.0231082355603575, -0.064322852063924, -0.153077729512006, -0.0445989640429616]","[-0.0423080857432525, 0.0521194787708978, 0.0686982154598745, 0.2855984250561691, -0.0598227242089385, -0.0189133750278922, -0.0436082499576382, -0.072292299751201, 0.0118989504304559]",0.953830026848739,0.9752151687360762,0.14384113675517032
26,"[-0.0278490595519542, -0.0725330598652362, 0.0551865780726075, 0.0052403574809432, -0.1006340577732771, -0.0192626293282955, -0.0613664423581212, 0.2690258987713605, -0.0173249263316392, -0.0012299511581659]","[-0.0291671739286075, -0.0817645062765016, 0.0102786715198445, 0.0112096182813305, -0.0840199804709771, 0.0296167870598004, 0.0483673572729224, 0.1234856372539904, 0.0804064293315386, -0.0092275221166363]",0.7132787970710435,0.7178219273344506,0.21060717315512884
27,"[0.0799741214141249, -0.075774329714477, -0.0645817881450057, 0.0010988069698214, -0.1124804243445396, -0.1345890257507562, -0.045235963538289, -0.0100424326956272]","[0.0105060370480269, -0.013126509642135, -0.0043846425259997, 0.0193432672620254, -0.0724058501938106, -0.0722828002107555, -0.0329290055946483, 0.0659842178622797]",0.7294196838702164,0.7278586191619993,0.1814223677313284
28,"[0.0661233905702829, 0.0324749071151018, 0.0722429109737277, -0.4037467064335942, -0.0801324713975191]","[-0.0516135065773451, -0.0957533161941267, -0.0112542670599878, -0.1749884473610819, -0.212537548127585]",0.6391565738829197,0.6873298656303245,0.31073136194912643
